年份,聚类标签0数量,聚类标签1数量,聚类标签2数量,聚类标签3数量,聚类标签4数量,聚类标签5数量,聚类标签6数量,聚类标签7数量,聚类标签8数量,聚类标签9数量,聚类标签10数量,聚类标签11数量,聚类标签12数量,聚类标签13数量
200310,19,29,5,13,6,24,0,5,26,2,13,6,19,19
200410,51,16,0,35,0,34,0,5,11,9,0,0,17,8
200510,10,27,3,25,3,18,1,8,28,2,29,10,13,9
200610,0,12,24,4,16,23,8,16,20,0,40,13,8,2
200710,7,11,12,11,9,20,13,7,30,6,12,20,5,23
200810,0,20,8,6,19,23,20,12,25,0,26,13,3,11
200910,5,10,13,10,21,24,8,7,31,2,17,14,9,15
201010,25,10,14,12,0,30,6,2,17,26,1,14,1,28
201110,18,10,9,26,2,21,7,2,21,19,4,23,4,20
201210,20,14,6,20,4,36,7,7,34,7,8,5,2,16
201310,24,20,5,29,0,31,2,3,29,12,8,3,7,13
201410,3,11,25,15,20,14,5,6,21,2,25,20,3,16
201510,4,4,39,7,21,23,14,2,14,3,10,21,2,22
201610,0,5,44,0,51,6,27,3,5,0,13,28,2,2
201710,5,3,30,8,33,17,10,4,22,1,8,17,1,27
201810,24,4,23,13,3,20,7,0,12,31,2,27,2,18
201910,0,8,35,7,41,17,7,1,19,1,10,23,0,17
202010,16,2,35,6,8,16,10,0,13,23,3,31,0,23
