月份,聚类标签0数量,聚类标签1数量,聚类标签2数量,年份
200301,186,0,0,
200302,186,0,0,
200303,186,0,0,
200304,0,186,0,
200305,0,0,186,
200306,0,0,186,
200307,0,186,0,
200308,0,185,1,
200309,0,186,0,
200310,0,186,0,
200311,185,1,0,
200312,186,0,0,
200401,186,0,0,
200402,186,0,0,
200403,34,152,0,
200404,0,0,186,
200405,0,0,186,
200406,0,177,9,
200407,0,185,1,
200408,0,186,0,
200409,0,186,0,
200410,0,186,0,
200411,117,69,0,
200412,186,0,0,
200501,186,0,0,
200502,186,0,0,
200503,43,143,0,
200504,0,186,0,
200505,0,0,186,
200506,0,0,186,
200507,0,186,0,
200508,0,186,0,
200509,0,186,0,
200510,0,186,0,
200511,101,85,0,
200512,186,0,0,
200601,186,0,0,
200602,186,0,0,
200603,0,186,0,
200604,0,0,186,
200605,0,0,186,
200606,0,6,180,
200607,0,117,69,
200608,0,175,11,
200609,0,186,0,
200610,0,186,0,
200611,170,16,0,
200612,186,0,0,
200701,186,0,0,
200702,186,0,0,
200703,186,0,0,
200704,0,186,0,
200705,0,141,45,
200706,0,0,186,
200707,0,186,0,
200708,0,37,149,
200709,0,186,0,
200710,0,186,0,
200711,186,0,0,
200712,186,0,0,
200801,186,0,0,
200802,186,0,0,
200803,121,65,0,
200804,0,186,0,
200805,0,176,10,
200806,0,0,186,
200807,0,186,0,
200808,0,186,0,
200809,0,186,0,
200810,0,186,0,
200811,186,0,0,
200812,186,0,0,
200901,186,0,0,
200902,184,2,0,
200903,91,95,0,
200904,0,186,0,
200905,0,0,186,
200906,0,0,186,
200907,0,186,0,
200908,0,186,0,
200909,0,186,0,
200910,0,186,0,
200911,186,0,0,
200912,186,0,0,
201001,186,0,0,
201002,186,0,0,
201003,184,2,0,
201004,0,17,169,
201005,0,0,186,
201006,0,0,186,
201007,0,186,0,
201008,0,186,0,
201009,0,158,28,
201010,17,169,0,
201011,186,0,0,
201012,186,0,0,
201101,186,0,0,
201102,186,0,0,
201103,186,0,0,
201104,0,186,0,
201105,0,0,186,
201106,0,0,186,
201107,0,186,0,
201108,0,186,0,
201109,0,184,2,
201110,0,186,0,
201111,186,0,0,
201112,186,0,0,
201201,186,0,0,
201202,186,0,0,
201203,186,0,0,
201204,0,0,186,
201205,0,0,186,
201206,0,0,186,
201207,0,186,0,
201208,0,186,0,
201209,0,186,0,
201210,0,186,0,
201211,186,0,0,
201212,186,0,0,
201301,186,0,0,
201302,186,0,0,
201303,122,64,0,
201304,0,120,66,
201305,0,0,186,
201306,0,184,2,
201307,0,186,0,
201308,0,17,169,
201309,0,186,0,
201310,0,186,0,
201311,184,2,0,
201312,186,0,0,
201401,186,0,0,
201402,186,0,0,
201403,0,0,186,
201404,0,18,168,
201405,0,0,186,
201406,0,163,23,
201407,0,186,0,
201408,0,19,167,
201409,0,186,0,
201410,0,186,0,
201411,82,104,0,
201412,186,0,0,
201501,186,0,0,
201502,186,0,0,
201503,0,186,0,
201504,0,186,0,
201505,0,0,186,
201506,0,34,152,
201507,0,180,6,
201508,0,149,37,
201509,0,186,0,
201510,0,186,0,
201511,186,0,0,
201512,186,0,0,
201601,186,0,0,
201602,186,0,0,
201603,125,61,0,
201604,0,0,186,
201605,0,0,186,
201606,0,0,186,
201607,0,186,0,
201608,0,0,186,
201609,0,186,0,
201610,0,186,0,
201611,184,2,0,
201612,186,0,0,
201701,186,0,0,
201702,186,0,0,
201703,55,131,0,
201704,0,186,0,
201705,0,0,186,
201706,0,0,186,
201707,0,186,0,
201708,0,146,40,
201709,0,186,0,
201710,0,186,0,
201711,159,27,0,
201712,186,0,0,
201801,186,0,0,
201802,186,0,0,
201803,0,186,0,
201804,0,186,0,
201805,0,0,186,
201806,0,0,186,
201807,0,186,0,
201808,0,150,36,
201809,0,186,0,
201810,0,186,0,
201811,99,87,0,
201812,185,1,0,
201901,186,0,0,
201902,127,59,0,
201903,0,0,186,
201904,0,0,186,
201905,0,0,186,
201906,0,0,186,
201907,0,186,0,
201908,0,118,68,
201909,0,186,0,
201910,0,186,0,
201911,155,31,0,
201912,186,0,0,
202001,186,0,0,
202002,186,0,0,
202003,107,79,0,
202004,0,180,6,
202005,0,0,186,
202006,0,0,186,
202007,0,186,0,
202008,0,186,0,
202009,0,166,20,
202010,0,186,0,
202011,186,0,0,
202012,186,0,0,
