region_id,avg_resident_dist_m,dominant_risk_level_resident
1,2678.7,1
2,1580.7,0
3,565.8,0
4,1618.8,0
5,4107.1,2
6,4424.8,2
7,3011.5,1
8,1636.3,0
9,656.1,0
10,1302.9,0
11,954.9,0
12,525.3,0
13,1356.9,0
14,2257.7,1
15,3145.4,1
16,4462.9,2
17,5578.4,3
18,6646.0,4
19,5974.8,3
20,4630.7,2
21,3303.1,1
22,2120.4,1
23,1486.2,0
24,1920.7,1
25,1353.6,0
26,444.1,0
27,2046.4,1
28,2951.1,1
29,3856.6,2
30,4936.0,3
31,6158.4,3
32,7157.3,4
33,6278.5,4
34,4997.9,3
35,3801.7,2
36,2835.9,1
37,2393.9,1
38,2341.9,1
39,1470.8,0
40,2898.3,1
41,3527.6,2
42,4310.2,2
43,5103.2,3
44,6083.5,3
45,7131.7,4
46,6685.1,4
47,5500.4,3
48,4442.0,2
49,3598.0,2
50,2925.5,1
51,2022.3,1
52,925.0,0
53,3198.0,1
54,3594.1,2
55,4406.3,2
56,5479.2,3
57,6686.3,4
58,7137.3,4
59,6031.1,3
60,4804.0,2
61,3508.0,2
62,2322.3,1
63,1536.8,0
64,558.1,0
65,2183.5,1
66,2301.1,1
67,2775.9,1
68,3767.9,2
69,4976.1,3
70,6272.4,4
71,7150.5,4
72,5993.8,3
73,4583.7,2
74,3187.5,1
75,1824.3,0
76,756.9,0
77,616.0,0
78,1277.8,0
79,1400.0,0
80,2080.0,1
81,3281.0,1
82,4608.5,2
83,5984.0,3
84,7008.2,4
85,5930.9,3
86,4501.1,2
87,3073.3,1
88,1544.6,0
89,797.2,0
90,591.6,0
91,1613.0,0
92,2995.1,1
93,4409.3,2
94,5832.3,3
95,6941.6,4
96,5938.7,3
97,4528.8,2
98,3137.3,1
99,1705.7,0
100,1005.4,0
101,627.2,0
102,1605.1,0
103,2990.2,1
104,4406.0,2
105,5829.8,3
106,6902.3,4
107,5849.3,3
108,4420.7,2
109,2995.2,1
110,1492.4,0
111,874.8,0
112,1632.2,0
113,1466.3,0
114,2091.3,1
115,3274.0,1
116,4602.5,2
117,5979.5,3
118,6983.9,4
119,5894.1,3
120,4479.9,2
121,3082.4,1
122,1682.6,0
123,933.6,0
124,2028.4,1
125,2373.6,1
126,2808.4,1
127,3772.1,2
128,4968.5,3
129,6265.2,3
130,7183.9,4
131,6084.5,3
132,4728.0,2
133,3434.2,2
134,2284.6,1
135,1643.8,0
136,2766.0,1
137,3582.5,2
138,4413.0,2
139,5470.8,3
140,6670.2,4
141,7492.7,4
142,6406.5,4
143,5136.2,3
144,3978.2,2
145,2983.5,1
146,1169.5,0
147,2264.9,1
148,3570.4,2
149,4857.7,3
150,6045.4,3
151,7184.3,4
152,7906.1,4
153,6850.4,4
154,5680.5,3
155,4641.4,2
156,3550.0,2
157,3282.9,1
158,4710.7,2
159,6134.2,3
160,7542.9,4
161,8120.0,4
162,7327.4,4
163,6317.3,4
164,5234.3,3
165,4294.2,2
166,3478.1,2
167,4701.3,2
168,6127.0,3
169,7472.9,4
170,7382.5,4
171,6858.7,4
172,6513.4,4
173,5711.7,3
174,3990.9,2
175,4874.5,3
176,6260.6,3
177,7204.4,4
178,6610.3,4
179,6004.9,3
180,5678.1,3
181,5758.5,3
182,5138.9,3
183,6552.9,4
184,6666.4,4
185,5391.8,3
186,5506.9,3
